data,conta,tipo,categoria,valor,forma_pagamento,descricao
2024-03-05,Papaya,Saída,Impostos,26894,Dinheiro,Pagamento
2024-03-14,Mdias,Entrada,Outros Recebimentos,14740,PIX,Recebimento
2024-04-16,Zov,Entrada,Antecipação,43154,Boleto,Recebimento
2024-06-24,Zov,Entrada,Antecipação,25503,Cartão,Recebimento
2024-04-18,Mdias,Saída,Folha de Pagamento,30887,Cartão,Pagamento
2024-07-25,Mdias,Entrada,Outros Recebimentos,9581,Cartão,Recebimento
2024-08-26,Papaya,Saída,Folha de Pagamento,11339,Boleto,Pagamento
2024-05-18,Papaya,Entrada,Outros Recebimentos,48656,TED,Recebimento
2024-03-10,Papaya,Saída,Operacional,1633,Cartão,Pagamento
2024-01-20,Papaya,Saída,Marketing,27327,TED,Pagamento
2024-05-08,Mdias,Saída,Fornecedor,1055,Boleto,Pagamento
2024-09-11,Zov,Entrada,Outros Recebimentos,28174,Dinheiro,Recebimento
2024-08-13,Mdias,Saída,Fornecedor,26743,Cartão,Pagamento
2024-05-06,Mdias,Saída,Operacional,977,TED,Pagamento
2024-11-13,Papaya,Saída,Impostos,2723,PIX,Pagamento
2024-02-19,Mdias,Saída,Operacional,17892,TED,Pagamento
2024-01-17,Zov,Entrada,Recebimento Clientes,50202,TED,Recebimento
2024-02-25,Papaya,Saída,Operacional,29505,PIX,Pagamento
2024-01-10,Papaya,Entrada,Antecipação,16270,Dinheiro,Recebimento
2024-09-22,Papaya,Saída,Folha de Pagamento,22816,Boleto,Pagamento
2024-04-13,Mdias,Saída,Fornecedor,20809,PIX,Pagamento
2024-07-19,Zov,Saída,Operacional,10706,PIX,Pagamento
2024-09-22,Papaya,Saída,Impostos,12608,PIX,Pagamento
2024-07-04,Mdias,Entrada,Antecipação,34602,Boleto,Recebimento
2024-05-16,Papaya,Entrada,Recebimento Clientes,31520,Dinheiro,Recebimento
2024-08-15,Zov,Saída,Folha de Pagamento,25665,TED,Pagamento
2024-02-05,Mdias,Entrada,Antecipação,39151,TED,Recebimento
2024-01-01,Papaya,Entrada,Outros Recebimentos,14191,TED,Recebimento
2024-11-07,Mdias,Entrada,Outros Recebimentos,39888,Boleto,Recebimento
2024-06-02,Mdias,Entrada,Antecipação,19221,PIX,Recebimento
2024-06-24,Papaya,Saída,Impostos,34625,TED,Pagamento
2024-10-17,Mdias,Entrada,Recebimento Clientes,7645,Dinheiro,Recebimento
2024-06-01,Mdias,Entrada,Outros Recebimentos,43045,TED,Recebimento
2024-04-10,Papaya,Saída,Marketing,6180,TED,Pagamento
2024-04-04,Mdias,Saída,Impostos,33952,PIX,Pagamento
2024-12-18,Zov,Entrada,Recebimento Clientes,43209,Dinheiro,Recebimento
2024-02-04,Papaya,Saída,Marketing,20689,PIX,Pagamento
2024-06-18,Papaya,Saída,Operacional,35482,TED,Pagamento
2024-05-26,Papaya,Saída,Impostos,22107,Dinheiro,Pagamento
2024-07-17,Mdias,Saída,Operacional,14114,Cartão,Pagamento
2024-09-21,Mdias,Entrada,Recebimento Clientes,16652,Dinheiro,Recebimento
2024-07-14,Zov,Saída,Folha de Pagamento,13649,Boleto,Pagamento
2024-09-08,Zov,Entrada,Antecipação,43686,Dinheiro,Recebimento
2024-03-03,Zov,Entrada,Recebimento Clientes,16993,Dinheiro,Recebimento
2024-03-22,Mdias,Saída,Folha de Pagamento,30217,Dinheiro,Pagamento
2024-08-18,Papaya,Saída,Impostos,14929,Boleto,Pagamento
2024-12-03,Papaya,Entrada,Outros Recebimentos,4273,TED,Recebimento
2024-07-25,Zov,Entrada,Outros Recebimentos,17950,Boleto,Recebimento
2024-08-13,Mdias,Saída,Operacional,1092,TED,Pagamento
2024-08-25,Zov,Entrada,Recebimento Clientes,18499,Boleto,Recebimento
2024-11-05,Papaya,Entrada,Outros Recebimentos,43733,PIX,Recebimento
2024-06-12,Papaya,Saída,Marketing,23613,Boleto,Pagamento
2024-12-16,Zov,Entrada,Recebimento Clientes,46507,Boleto,Recebimento
2024-12-25,Mdias,Saída,Fornecedor,23088,Cartão,Pagamento
2024-02-24,Zov,Entrada,Recebimento Clientes,11617,Boleto,Recebimento
2024-02-23,Papaya,Saída,Folha de Pagamento,31478,PIX,Pagamento
2024-11-22,Papaya,Entrada,Antecipação,36938,TED,Recebimento
2024-06-09,Papaya,Entrada,Outros Recebimentos,17974,PIX,Recebimento
2024-12-17,Papaya,Entrada,Antecipação,32957,Dinheiro,Recebimento
2024-09-03,Zov,Entrada,Recebimento Clientes,46078,Cartão,Recebimento
2024-11-04,Mdias,Saída,Operacional,36610,PIX,Pagamento
2024-08-22,Papaya,Saída,Marketing,20837,Cartão,Pagamento
2024-01-17,Mdias,Entrada,Antecipação,17087,TED,Recebimento
2024-10-14,Papaya,Entrada,Outros Recebimentos,21505,TED,Recebimento
2024-06-10,Zov,Saída,Folha de Pagamento,12837,TED,Pagamento
2024-07-06,Mdias,Entrada,Outros Recebimentos,15699,Dinheiro,Recebimento
2024-06-16,Papaya,Saída,Folha de Pagamento,8894,Dinheiro,Pagamento
2024-01-10,Mdias,Entrada,Antecipação,8207,Cartão,Recebimento
2024-06-25,Papaya,Entrada,Outros Recebimentos,49682,Cartão,Recebimento
2024-03-10,Zov,Entrada,Antecipação,35762,TED,Recebimento
2024-10-10,Zov,Entrada,Antecipação,7526,PIX,Recebimento
2024-02-16,Papaya,Saída,Marketing,14956,Dinheiro,Pagamento
2024-10-24,Papaya,Saída,Impostos,32190,TED,Pagamento
2024-01-12,Mdias,Entrada,Antecipação,4779,Dinheiro,Recebimento
2024-09-03,Papaya,Entrada,Recebimento Clientes,24339,Cartão,Recebimento
2024-08-19,Papaya,Entrada,Outros Recebimentos,19193,PIX,Recebimento
2024-09-26,Zov,Saída,Folha de Pagamento,22392,Cartão,Pagamento
2024-11-08,Mdias,Saída,Fornecedor,16442,Cartão,Pagamento
2024-03-17,Zov,Entrada,Antecipação,45866,Boleto,Recebimento
2024-12-01,Mdias,Saída,Fornecedor,30008,Cartão,Pagamento
2024-10-10,Papaya,Entrada,Antecipação,13510,Boleto,Recebimento
2024-10-18,Papaya,Saída,Marketing,18771,Boleto,Pagamento
2024-10-15,Mdias,Entrada,Recebimento Clientes,15715,Boleto,Recebimento
2024-01-23,Mdias,Saída,Folha de Pagamento,4586,Dinheiro,Pagamento
2024-12-10,Papaya,Entrada,Recebimento Clientes,35630,Cartão,Recebimento
2024-09-07,Papaya,Entrada,Outros Recebimentos,47650,PIX,Recebimento
2024-09-25,Papaya,Saída,Marketing,34536,Boleto,Pagamento
2024-02-22,Zov,Saída,Impostos,39558,Boleto,Pagamento
2024-09-11,Mdias,Saída,Impostos,22207,PIX,Pagamento
2024-05-19,Mdias,Entrada,Outros Recebimentos,11139,Cartão,Recebimento
2024-02-06,Papaya,Entrada,Recebimento Clientes,44041,Cartão,Recebimento
2024-04-24,Zov,Saída,Folha de Pagamento,7270,TED,Pagamento
2024-01-14,Mdias,Saída,Folha de Pagamento,23223,TED,Pagamento
2024-05-18,Papaya,Saída,Operacional,5225,Boleto,Pagamento
2024-03-23,Papaya,Saída,Operacional,37545,TED,Pagamento
2024-05-26,Mdias,Saída,Folha de Pagamento,26906,Cartão,Pagamento
2024-05-12,Zov,Entrada,Recebimento Clientes,40099,PIX,Recebimento
2024-08-20,Mdias,Saída,Fornecedor,12360,TED,Pagamento
2024-02-27,Papaya,Saída,Marketing,12935,PIX,Pagamento
2024-10-22,Papaya,Entrada,Recebimento Clientes,3110,TED,Recebimento
2024-12-09,Mdias,Entrada,Antecipação,26979,TED,Recebimento
2024-05-21,Papaya,Saída,Impostos,26682,PIX,Pagamento
2024-03-26,Mdias,Entrada,Outros Recebimentos,43854,PIX,Recebimento
2024-11-25,Papaya,Saída,Folha de Pagamento,37519,PIX,Pagamento
2024-01-02,Papaya,Saída,Fornecedor,30154,Cartão,Pagamento
2024-05-28,Zov,Entrada,Outros Recebimentos,5797,Boleto,Recebimento
2024-09-04,Zov,Saída,Folha de Pagamento,29090,PIX,Pagamento
2024-05-07,Papaya,Saída,Fornecedor,32713,Cartão,Pagamento
2024-08-20,Mdias,Entrada,Antecipação,8278,Cartão,Recebimento
2024-09-22,Zov,Saída,Impostos,28205,Cartão,Pagamento
2024-03-21,Papaya,Entrada,Antecipação,28912,Dinheiro,Recebimento
2024-02-15,Mdias,Saída,Operacional,17709,Dinheiro,Pagamento
2024-06-18,Papaya,Saída,Operacional,37556,Cartão,Pagamento
2024-05-24,Zov,Saída,Operacional,28865,Dinheiro,Pagamento
2024-02-24,Papaya,Saída,Marketing,15922,TED,Pagamento
2024-01-22,Zov,Saída,Fornecedor,24636,TED,Pagamento
2024-08-04,Zov,Entrada,Outros Recebimentos,3241,Dinheiro,Recebimento
2024-04-24,Mdias,Entrada,Recebimento Clientes,19934,Cartão,Recebimento
2024-02-18,Zov,Saída,Marketing,32401,Boleto,Pagamento
2024-12-23,Mdias,Entrada,Antecipação,44876,Dinheiro,Recebimento
2024-12-17,Papaya,Entrada,Recebimento Clientes,30206,TED,Recebimento
2024-01-01,Papaya,Saída,Fornecedor,11560,PIX,Pagamento
2024-06-11,Papaya,Entrada,Outros Recebimentos,23690,Dinheiro,Recebimento
2024-07-05,Zov,Entrada,Antecipação,38356,Dinheiro,Recebimento
2024-06-26,Papaya,Entrada,Antecipação,23834,PIX,Recebimento
2024-12-18,Mdias,Saída,Folha de Pagamento,21443,PIX,Pagamento
2024-09-05,Zov,Saída,Folha de Pagamento,8595,PIX,Pagamento
2024-06-13,Papaya,Entrada,Outros Recebimentos,7383,TED,Recebimento
2024-08-06,Zov,Entrada,Outros Recebimentos,24469,Boleto,Recebimento
2024-09-05,Papaya,Saída,Folha de Pagamento,18338,Dinheiro,Pagamento
2024-01-16,Mdias,Entrada,Recebimento Clientes,41234,Dinheiro,Recebimento
2024-11-08,Zov,Entrada,Antecipação,17559,Cartão,Recebimento
2024-07-04,Papaya,Saída,Operacional,28052,Cartão,Pagamento
2024-10-25,Mdias,Saída,Operacional,10658,Boleto,Pagamento
2024-09-02,Mdias,Saída,Marketing,24622,PIX,Pagamento
2024-07-09,Papaya,Saída,Fornecedor,33594,Cartão,Pagamento
2024-06-26,Papaya,Entrada,Recebimento Clientes,21194,TED,Recebimento
2024-04-26,Papaya,Saída,Fornecedor,33703,Dinheiro,Pagamento
2024-05-06,Zov,Entrada,Outros Recebimentos,14623,TED,Recebimento
2024-01-27,Zov,Entrada,Recebimento Clientes,20739,Dinheiro,Recebimento
2024-07-27,Papaya,Saída,Folha de Pagamento,13992,Dinheiro,Pagamento
2024-06-24,Zov,Entrada,Outros Recebimentos,42044,TED,Recebimento
2024-01-16,Mdias,Saída,Impostos,26237,Cartão,Pagamento
2024-12-18,Papaya,Saída,Folha de Pagamento,25562,Dinheiro,Pagamento
2024-01-10,Mdias,Saída,Fornecedor,28408,Boleto,Pagamento
2024-05-01,Zov,Saída,Fornecedor,22749,Dinheiro,Pagamento
2024-03-16,Zov,Saída,Folha de Pagamento,8610,Boleto,Pagamento
2024-02-20,Papaya,Saída,Operacional,28289,Cartão,Pagamento
2024-10-16,Mdias,Saída,Folha de Pagamento,15285,Dinheiro,Pagamento
2024-05-09,Zov,Saída,Folha de Pagamento,17543,TED,Pagamento
2024-06-19,Mdias,Entrada,Outros Recebimentos,37220,Dinheiro,Recebimento
2024-09-02,Mdias,Saída,Fornecedor,39812,Boleto,Pagamento
2024-04-22,Zov,Saída,Impostos,13826,Dinheiro,Pagamento
2024-11-27,Mdias,Saída,Marketing,35453,Cartão,Pagamento
2024-03-28,Papaya,Saída,Folha de Pagamento,11579,PIX,Pagamento
2024-09-01,Papaya,Saída,Impostos,40138,Dinheiro,Pagamento
2024-01-26,Papaya,Saída,Fornecedor,39289,Boleto,Pagamento
2024-03-18,Mdias,Entrada,Antecipação,4024,Boleto,Recebimento
2024-06-16,Zov,Entrada,Recebimento Clientes,14991,Dinheiro,Recebimento
2024-03-15,Papaya,Saída,Marketing,19818,PIX,Pagamento
2024-10-07,Papaya,Saída,Folha de Pagamento,1158,Dinheiro,Pagamento
2024-06-20,Zov,Entrada,Recebimento Clientes,41970,Dinheiro,Recebimento
2024-11-16,Zov,Entrada,Antecipação,35983,Dinheiro,Recebimento
2024-12-21,Zov,Saída,Impostos,38482,PIX,Pagamento
2024-01-14,Papaya,Entrada,Antecipação,11784,Cartão,Recebimento
2024-07-11,Zov,Saída,Fornecedor,21722,Boleto,Pagamento
2024-05-25,Zov,Saída,Operacional,13288,Dinheiro,Pagamento
2024-02-25,Mdias,Saída,Marketing,30598,TED,Pagamento
2024-10-02,Papaya,Entrada,Antecipação,50325,Cartão,Recebimento
2024-05-05,Zov,Entrada,Antecipação,49449,PIX,Recebimento
2024-02-21,Zov,Saída,Operacional,27615,Dinheiro,Pagamento
2024-10-04,Mdias,Saída,Fornecedor,22833,TED,Pagamento
2024-08-08,Papaya,Saída,Folha de Pagamento,24307,Dinheiro,Pagamento
2024-03-04,Mdias,Saída,Fornecedor,16372,Boleto,Pagamento
2024-02-11,Mdias,Entrada,Recebimento Clientes,16311,TED,Recebimento
2024-05-10,Mdias,Entrada,Antecipação,46863,PIX,Recebimento
2024-12-02,Zov,Entrada,Recebimento Clientes,35327,Cartão,Recebimento
2024-08-08,Papaya,Saída,Fornecedor,8817,Boleto,Pagamento
2024-07-05,Papaya,Entrada,Antecipação,8920,Cartão,Recebimento
2024-07-15,Zov,Entrada,Recebimento Clientes,7246,Cartão,Recebimento
2024-07-22,Papaya,Saída,Fornecedor,10819,TED,Pagamento
2024-12-20,Zov,Entrada,Recebimento Clientes,6004,PIX,Recebimento
2024-12-10,Mdias,Entrada,Recebimento Clientes,20597,Cartão,Recebimento
2024-02-27,Zov,Entrada,Antecipação,33650,Boleto,Recebimento
2024-03-12,Papaya,Entrada,Recebimento Clientes,10652,Cartão,Recebimento
2024-04-05,Mdias,Saída,Impostos,24037,Cartão,Pagamento
2024-05-14,Mdias,Saída,Marketing,595,Dinheiro,Pagamento
2024-03-14,Papaya,Saída,Fornecedor,34987,Boleto,Pagamento
2024-10-22,Papaya,Entrada,Antecipação,9819,PIX,Recebimento
2024-12-13,Mdias,Entrada,Recebimento Clientes,5759,PIX,Recebimento
2024-09-07,Mdias,Saída,Marketing,35733,Cartão,Pagamento
2024-02-09,Zov,Saída,Marketing,30575,Cartão,Pagamento
2024-08-22,Mdias,Entrada,Outros Recebimentos,26360,Cartão,Recebimento
2024-01-02,Papaya,Saída,Folha de Pagamento,11479,Dinheiro,Pagamento
2024-03-05,Papaya,Saída,Fornecedor,13395,Cartão,Pagamento
2024-10-21,Mdias,Entrada,Antecipação,48820,PIX,Recebimento
2024-01-26,Zov,Entrada,Antecipação,4388,PIX,Recebimento
2024-01-06,Zov,Saída,Marketing,1783,PIX,Pagamento
2024-11-12,Papaya,Saída,Folha de Pagamento,2560,Boleto,Pagamento
2024-07-27,Zov,Saída,Fornecedor,11573,PIX,Pagamento
2024-09-10,Zov,Entrada,Antecipação,32699,Dinheiro,Recebimento
2024-07-22,Papaya,Saída,Marketing,20666,Boleto,Pagamento
2024-11-19,Zov,Saída,Operacional,10981,Cartão,Pagamento
2024-02-01,Mdias,Saída,Fornecedor,13610,Cartão,Pagamento
2024-09-09,Zov,Saída,Marketing,5099,PIX,Pagamento
2024-11-05,Mdias,Saída,Impostos,1280,Boleto,Pagamento
2024-02-23,Mdias,Saída,Folha de Pagamento,13023,PIX,Pagamento
2024-08-18,Zov,Entrada,Outros Recebimentos,15927,Dinheiro,Recebimento
2024-09-04,Mdias,Saída,Folha de Pagamento,19840,Cartão,Pagamento
2024-04-14,Mdias,Saída,Operacional,26087,Dinheiro,Pagamento
2024-07-04,Mdias,Entrada,Antecipação,1154,PIX,Recebimento
2024-08-24,Mdias,Saída,Operacional,32635,Cartão,Pagamento
2024-12-05,Papaya,Saída,Fornecedor,21258,Boleto,Pagamento
2024-03-15,Papaya,Entrada,Outros Recebimentos,49561,Boleto,Recebimento
2024-08-20,Mdias,Saída,Folha de Pagamento,25645,Boleto,Pagamento
2024-08-08,Papaya,Entrada,Antecipação,9725,Cartão,Recebimento
2024-10-03,Papaya,Saída,Folha de Pagamento,22904,TED,Pagamento
2024-12-20,Zov,Saída,Fornecedor,11489,Boleto,Pagamento
2024-05-20,Papaya,Entrada,Outros Recebimentos,8004,PIX,Recebimento
2024-02-18,Zov,Entrada,Antecipação,49894,Cartão,Recebimento
2024-07-24,Zov,Saída,Folha de Pagamento,36062,Dinheiro,Pagamento
2024-08-27,Zov,Saída,Operacional,484,Cartão,Pagamento
2024-01-19,Mdias,Entrada,Outros Recebimentos,14547,Boleto,Recebimento
2024-07-26,Zov,Saída,Operacional,15338,Cartão,Pagamento
2024-02-18,Zov,Entrada,Antecipação,26439,PIX,Recebimento
2024-03-19,Zov,Saída,Impostos,16678,Cartão,Pagamento
2024-12-18,Papaya,Saída,Fornecedor,13199,Boleto,Pagamento
2024-10-09,Papaya,Entrada,Outros Recebimentos,30074,Boleto,Recebimento
2024-04-09,Papaya,Entrada,Outros Recebimentos,20784,Dinheiro,Recebimento
2024-10-24,Papaya,Entrada,Outros Recebimentos,41845,Dinheiro,Recebimento
2024-12-11,Zov,Saída,Fornecedor,37138,Boleto,Pagamento
2024-03-07,Papaya,Entrada,Recebimento Clientes,44109,PIX,Recebimento
2024-05-19,Mdias,Entrada,Recebimento Clientes,23461,TED,Recebimento
2024-07-05,Zov,Saída,Operacional,26813,Dinheiro,Pagamento
2024-03-10,Mdias,Entrada,Outros Recebimentos,10956,Cartão,Recebimento
2024-01-04,Papaya,Entrada,Outros Recebimentos,20521,Cartão,Recebimento
2024-09-13,Papaya,Entrada,Antecipação,40281,PIX,Recebimento
2024-12-13,Mdias,Saída,Operacional,13452,PIX,Pagamento
2024-12-19,Mdias,Entrada,Recebimento Clientes,49429,PIX,Recebimento
2024-12-06,Zov,Saída,Fornecedor,6389,Boleto,Pagamento
2024-02-12,Mdias,Entrada,Outros Recebimentos,5862,PIX,Recebimento
2024-01-06,Mdias,Saída,Operacional,24203,Dinheiro,Pagamento
2024-12-26,Papaya,Saída,Operacional,32721,TED,Pagamento
2024-08-21,Papaya,Entrada,Outros Recebimentos,38257,Dinheiro,Recebimento
2024-09-19,Papaya,Saída,Marketing,6890,Cartão,Pagamento
2024-09-19,Papaya,Entrada,Antecipação,6285,Dinheiro,Recebimento
2024-02-18,Papaya,Entrada,Recebimento Clientes,17302,Boleto,Recebimento
2024-03-05,Zov,Entrada,Outros Recebimentos,36213,TED,Recebimento
2024-11-18,Papaya,Saída,Marketing,30451,TED,Pagamento
2024-03-20,Zov,Saída,Folha de Pagamento,2608,Cartão,Pagamento
2024-03-04,Zov,Saída,Operacional,2236,Dinheiro,Pagamento
2024-10-20,Mdias,Saída,Impostos,24930,Cartão,Pagamento
2024-03-06,Papaya,Entrada,Recebimento Clientes,30160,Boleto,Recebimento
2024-08-24,Mdias,Entrada,Antecipação,8317,PIX,Recebimento
2024-06-15,Mdias,Saída,Fornecedor,13851,TED,Pagamento
2024-02-07,Mdias,Entrada,Recebimento Clientes,8868,PIX,Recebimento
2024-07-09,Mdias,Entrada,Antecipação,2070,PIX,Recebimento
2024-02-21,Papaya,Entrada,Recebimento Clientes,30161,Dinheiro,Recebimento
2024-01-05,Mdias,Entrada,Recebimento Clientes,34386,Boleto,Recebimento
2024-04-04,Papaya,Entrada,Antecipação,9756,Boleto,Recebimento
2024-07-28,Papaya,Entrada,Recebimento Clientes,28909,Boleto,Recebimento
2024-10-08,Zov,Entrada,Outros Recebimentos,24699,Boleto,Recebimento
2024-12-05,Zov,Saída,Marketing,4851,Boleto,Pagamento
2024-02-22,Papaya,Saída,Fornecedor,35731,Dinheiro,Pagamento
2024-09-05,Zov,Entrada,Antecipação,25413,Dinheiro,Recebimento
2024-01-23,Mdias,Saída,Folha de Pagamento,38010,Dinheiro,Pagamento
2024-03-22,Papaya,Saída,Folha de Pagamento,20759,Boleto,Pagamento
2024-08-26,Mdias,Saída,Operacional,4073,Boleto,Pagamento
2024-04-02,Mdias,Saída,Fornecedor,9267,Dinheiro,Pagamento
2024-01-15,Papaya,Entrada,Outros Recebimentos,48501,Dinheiro,Recebimento
2024-02-03,Mdias,Entrada,Outros Recebimentos,10522,Boleto,Recebimento
2024-10-17,Mdias,Saída,Marketing,9332,TED,Pagamento
2024-05-16,Papaya,Entrada,Outros Recebimentos,2230,PIX,Recebimento
2024-01-21,Mdias,Saída,Operacional,23434,TED,Pagamento
2024-05-01,Zov,Saída,Marketing,38603,PIX,Pagamento
2024-06-27,Zov,Entrada,Recebimento Clientes,8044,Boleto,Recebimento
2024-10-13,Zov,Saída,Operacional,16127,Dinheiro,Pagamento
2024-04-17,Papaya,Saída,Folha de Pagamento,4312,Dinheiro,Pagamento
2024-02-20,Mdias,Saída,Folha de Pagamento,20058,PIX,Pagamento
2024-07-03,Mdias,Saída,Impostos,12497,Cartão,Pagamento
2024-01-26,Mdias,Saída,Folha de Pagamento,2369,TED,Pagamento
2024-09-17,Zov,Saída,Impostos,12819,Dinheiro,Pagamento
2024-08-20,Papaya,Entrada,Outros Recebimentos,43933,PIX,Recebimento
2024-11-27,Papaya,Entrada,Antecipação,32956,Dinheiro,Recebimento
2024-05-25,Mdias,Saída,Folha de Pagamento,19597,Boleto,Pagamento
